nohup: ignoring input
[21:49:35.313] Namespace(data='brain', snapshot_path='./work_dir/ped0213/brain', data_prefix='/data/pyhData/MedSAM-MedSAM2/data/npz_train/BraTS-PED', rand_crop_size=(256, 256, 256), device_ids='0,1', batch_size=1, num_classes=2, lr=0.0004, max_epoch=50, eval_interval=4, resume=False, num_worker=6, tolerance=5)
/home/pyh/.conda/envs/sam2_in_med/lib/python3.10/site-packages/monai/utils/deprecate_utils.py:321: FutureWarning: monai.transforms.croppad.dictionary CropForegroundd.__init__:allow_smaller: Current default value of argument `allow_smaller=True` has been deprecated since version 1.2. It will be changed to `allow_smaller=False` in version 1.5.
  warn_deprecated(argname, msg, warning_category)
[21:49:41.146] epoch: 0/50, iter: 0/252: loss:0.83703184
[21:49:43.020] epoch: 0/50, iter: 1/252: loss:0.6327939
[21:49:44.786] epoch: 0/50, iter: 2/252: loss:0.61809754
[21:49:46.523] epoch: 0/50, iter: 3/252: loss:0.5266764
[21:49:48.255] epoch: 0/50, iter: 4/252: loss:0.47682372
[21:49:50.012] epoch: 0/50, iter: 5/252: loss:0.4571644
[21:49:51.846] epoch: 0/50, iter: 6/252: loss:0.48741457
[21:49:53.620] epoch: 0/50, iter: 7/252: loss:0.46214497
[21:49:55.428] epoch: 0/50, iter: 8/252: loss:0.3771639
[21:49:57.184] epoch: 0/50, iter: 9/252: loss:0.48622578
[21:49:58.947] epoch: 0/50, iter: 10/252: loss:0.4770207
[21:50:00.698] epoch: 0/50, iter: 11/252: loss:0.4725464
[21:50:02.450] epoch: 0/50, iter: 12/252: loss:0.50578547
[21:50:04.259] epoch: 0/50, iter: 13/252: loss:0.43591857
[21:50:06.004] epoch: 0/50, iter: 14/252: loss:0.42814472
[21:50:07.747] epoch: 0/50, iter: 15/252: loss:0.470935
[21:50:09.467] epoch: 0/50, iter: 16/252: loss:0.40298307
[21:50:11.218] epoch: 0/50, iter: 17/252: loss:0.36934733
[21:50:12.933] epoch: 0/50, iter: 18/252: loss:0.4575331
[21:50:14.679] epoch: 0/50, iter: 19/252: loss:0.42266044
[21:50:16.424] epoch: 0/50, iter: 20/252: loss:0.43075275
[21:50:18.173] epoch: 0/50, iter: 21/252: loss:0.43465766
[21:50:19.931] epoch: 0/50, iter: 22/252: loss:0.46628684
[21:50:21.706] epoch: 0/50, iter: 23/252: loss:0.22452082
[21:50:23.461] epoch: 0/50, iter: 24/252: loss:0.49134815
[21:50:25.224] epoch: 0/50, iter: 25/252: loss:0.5078943
[21:50:27.003] epoch: 0/50, iter: 26/252: loss:0.47514758
[21:50:28.841] epoch: 0/50, iter: 27/252: loss:0.43513888
[21:50:30.605] epoch: 0/50, iter: 28/252: loss:0.46120152
[21:50:32.358] epoch: 0/50, iter: 29/252: loss:0.39265913
[21:50:34.150] epoch: 0/50, iter: 30/252: loss:0.43737903
[21:50:35.934] epoch: 0/50, iter: 31/252: loss:0.3898034
[21:50:37.680] epoch: 0/50, iter: 32/252: loss:0.45760196
[21:50:39.451] epoch: 0/50, iter: 33/252: loss:0.45509094
[21:50:41.242] epoch: 0/50, iter: 34/252: loss:0.41523427
[21:50:43.005] epoch: 0/50, iter: 35/252: loss:0.29503915
[21:50:44.753] epoch: 0/50, iter: 36/252: loss:0.45835513
[21:50:46.545] epoch: 0/50, iter: 37/252: loss:0.519787
[21:50:48.321] epoch: 0/50, iter: 38/252: loss:0.48183078
[21:50:50.111] epoch: 0/50, iter: 39/252: loss:0.50137335
[21:50:51.855] epoch: 0/50, iter: 40/252: loss:0.48472244
[21:50:53.619] epoch: 0/50, iter: 41/252: loss:0.3975872
[21:50:55.402] epoch: 0/50, iter: 42/252: loss:0.41680855
[21:50:57.211] epoch: 0/50, iter: 43/252: loss:0.42604956
[21:50:58.993] epoch: 0/50, iter: 44/252: loss:0.4725777
[21:51:00.747] epoch: 0/50, iter: 45/252: loss:0.39761475
[21:51:02.512] epoch: 0/50, iter: 46/252: loss:0.41493553
[21:51:04.292] epoch: 0/50, iter: 47/252: loss:0.1563436
[21:51:06.070] epoch: 0/50, iter: 48/252: loss:0.38699484
[21:51:07.862] epoch: 0/50, iter: 49/252: loss:0.4286984
[21:51:09.612] epoch: 0/50, iter: 50/252: loss:0.3118976
[21:51:11.375] epoch: 0/50, iter: 51/252: loss:0.44770992
[21:51:13.154] epoch: 0/50, iter: 52/252: loss:0.39627305
[21:51:14.925] epoch: 0/50, iter: 53/252: loss:0.36890075
[21:51:16.689] epoch: 0/50, iter: 54/252: loss:0.34136966
[21:51:18.443] epoch: 0/50, iter: 55/252: loss:0.3391064
[21:51:20.207] epoch: 0/50, iter: 56/252: loss:0.4617546
[21:51:21.972] epoch: 0/50, iter: 57/252: loss:0.41266802
[21:51:23.755] epoch: 0/50, iter: 58/252: loss:0.4382586
[21:51:25.498] epoch: 0/50, iter: 59/252: loss:0.41400838
[21:51:27.264] epoch: 0/50, iter: 60/252: loss:0.4903641
[21:51:29.063] epoch: 0/50, iter: 61/252: loss:0.21398324
[21:51:30.907] epoch: 0/50, iter: 62/252: loss:0.36847144
[21:51:32.687] epoch: 0/50, iter: 63/252: loss:0.4948014
[21:51:34.447] epoch: 0/50, iter: 64/252: loss:0.42544922
[21:51:36.234] epoch: 0/50, iter: 65/252: loss:0.19535689
[21:51:38.010] epoch: 0/50, iter: 66/252: loss:0.4458307
[21:51:39.807] epoch: 0/50, iter: 67/252: loss:0.41357583
